benchmark,architecture,memory_mb,timeout_sec,concurrency,invocations,failed_invocations,success_rate,rounds,cold_rate,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source,warm_only_successful_invocations,warm_only_mean_client_latency_ms,warm_only_p50_latency_ms,warm_only_p95_latency_ms,warm_only_p99_latency_ms,warm_mean_client_latency_ms,warm_p50_latency_ms,warm_p95_latency_ms,warm_p99_latency_ms,latency_slowdown_mean,latency_slowdown_p50,latency_slowdown_p95,latency_slowdown_p99
110.dynamic-html,x64,512,120,4,20,0,1.0,5,0.0,20,19.43415,18.3045,35.2569,36.471379999999996,measured,20,19.43415,18.3045,35.2569,36.471379999999996,17.93766666666667,18.088,18.4552,18.48784,1.0834268671138942,1.011969261388766,1.910404655598422,1.972722611186596
110.dynamic-html,x64,512,300,1,5,0,1.0,5,0.0,5,16.766000000000002,15.941,19.1672,19.43584,measured,5,16.766000000000002,15.941,19.1672,19.43584,25.231666666666666,24.698,32.1293,32.78986,0.6644824625140366,0.6454368774799579,0.5965645065407588,0.5927393407596129
110.dynamic-html,x64,512,300,2,10,0,1.0,5,0.0,10,18.4411,16.749000000000002,27.76414999999998,34.40723,measured,10,18.4411,16.749000000000002,27.76414999999998,34.40723,25.231666666666666,24.698,32.1293,32.78986,0.7308712596604795,0.6781520770912626,0.864138029773446,1.0493253097146495
110.dynamic-html,x64,512,300,4,20,0,1.0,5,0.0,20,19.128049999999998,17.185000000000002,37.434599999999996,38.73572,measured,20,19.128049999999998,17.185000000000002,37.434599999999996,38.73572,25.231666666666666,24.698,32.1293,32.78986,0.758096968095647,0.6958053283666694,1.1651234231682606,1.1813322777224424
110.dynamic-html,x64,512,900,1,3,0,1.0,3,0.0,3,27.566999999999997,21.924,41.8968,43.67216,measured,3,27.566999999999997,21.924,41.8968,43.67216,42.36966666666667,35.267,55.238,57.0132,0.6506305611719075,0.6216576402869537,0.7584778594445852,0.7660008559421327
110.dynamic-html,x64,512,900,2,10,0,1.0,5,0.0,10,19.7212,17.8705,27.65,27.7436,measured,10,19.7212,17.8705,27.65,27.7436,42.36966666666667,35.267,55.238,57.0132,0.4654556325673241,0.5067201633254884,0.5005612078641515,0.48661713427767606
110.dynamic-html,x64,512,900,4,16,0,1.0,4,0.0,16,23.380125,21.8305,37.94425,39.18565,measured,16,23.380125,21.8305,37.94425,39.18565,42.36966666666667,35.267,55.238,57.0132,0.5518128141988372,0.6190064366121303,0.6869229515912958,0.6873083777090219
110.dynamic-html,x64,1024,60,1,3,0,1.0,3,0.0,3,47.29466666666667,45.762,61.122299999999996,62.48766,measured,3,47.29466666666667,45.762,61.122299999999996,62.48766,17.307333333333332,16.152,20.0985,20.4493,2.7326374176649595,2.8332095096582464,3.0411373983133068,3.055735893160157
110.dynamic-html,x64,1024,60,2,10,0,1.0,5,0.0,10,20.0813,18.6375,25.1086,25.21372,measured,10,20.0813,18.6375,25.1086,25.21372,17.307333333333332,16.152,20.0985,20.4493,1.160276953892377,1.1538818722139672,1.249277309251934,1.232986948208496
110.dynamic-html,x64,1024,60,4,12,0,1.0,3,0.0,12,17.72158333333333,17.447499999999998,20.35935,21.08227,measured,12,17.72158333333333,17.447499999999998,20.35935,21.08227,17.307333333333332,16.152,20.0985,20.4493,1.0239349408728478,1.0802067855373945,1.0129785804910814,1.0309531377602168
110.dynamic-html,x64,1024,120,1,5,0,1.0,5,0.0,5,19.5228,20.797,23.214,23.5028,measured,5,19.5228,20.797,23.214,23.5028,17.631,17.512,19.2562,19.41124,1.107299642674834,1.1875856555504796,1.2055338021001027,1.2107830308625314
110.dynamic-html,x64,1024,120,2,10,0,1.0,5,0.0,10,21.096700000000002,17.073500000000003,38.66854999999997,49.25291000000001,measured,10,21.096700000000002,17.073500000000003,38.66854999999997,49.25291000000001,17.631,17.512,19.2562,19.41124,1.1965685440417448,0.9749600274097763,2.008109076557159,2.537339706273273
110.dynamic-html,x64,1024,120,4,20,0,1.0,5,0.0,20,22.336199999999998,20.2735,37.267900000000004,38.33038,measured,20,22.336199999999998,20.2735,37.267900000000004,38.33038,17.631,17.512,19.2562,19.41124,1.2668708524757528,1.1576918684330744,1.9353714647749818,1.9746487086863076
110.dynamic-html,x64,1024,300,1,5,0,1.0,5,0.0,5,18.2486,16.894,23.2612,24.035439999999998,measured,5,18.2486,16.894,23.2612,24.035439999999998,16.30966666666667,16.457,16.7522,16.77844,1.1188824623433953,1.02655404994835,1.3885459820202721,1.4325193522162964
110.dynamic-html,x64,1024,300,2,10,0,1.0,5,0.0,10,19.448500000000003,16.269,28.566849999999995,31.485370000000003,measured,10,19.448500000000003,16.269,28.566849999999995,31.485370000000003,16.30966666666667,16.457,16.7522,16.77844,1.1924523288847106,0.9885762897247371,1.7052596076933177,1.876537389650051
110.dynamic-html,x64,1024,300,4,20,0,1.0,5,0.0,20,19.5583,17.4635,33.27595,37.318389999999994,measured,20,19.5583,17.4635,33.27595,37.318389999999994,16.30966666666667,16.457,16.7522,16.77844,1.1991845326902244,1.0611593850641063,1.9863629851601583,2.2241871115550667
110.dynamic-html,x64,1024,900,1,4,0,1.0,4,0.0,4,35.907,37.102,53.50554999999999,54.35071,measured,4,35.907,37.102,53.50554999999999,54.35071,28.502,27.476,37.0736,37.92672,1.2598063293803943,1.350342116756442,1.4432250981830734,1.433045356940964
110.dynamic-html,x64,1024,900,2,10,0,1.0,5,0.0,10,21.6831,20.706000000000003,32.332249999999995,32.64725,measured,10,21.6831,20.706000000000003,32.332249999999995,32.64725,28.502,27.476,37.0736,37.92672,0.7607571398498351,0.7536031445625274,0.8721098032022786,0.8607981391483365
110.dynamic-html,x64,1024,900,4,12,0,1.0,3,0.0,12,27.65675,27.5105,39.09315,39.40423,measured,12,27.65675,27.5105,39.09315,39.40423,28.502,27.476,37.0736,37.92672,0.9703441863728861,1.0012556412869413,1.054474073194942,1.038956967541617
110.dynamic-html,x64,2048,60,1,4,0,1.0,4,0.0,4,23.15,23.2175,26.31275,26.52815,measured,4,23.15,23.2175,26.31275,26.52815,25.99933333333333,26.93,31.5677,31.97994,0.8904074463447782,0.8621425919049388,0.8335339603455432,0.8295246957936757
110.dynamic-html,x64,2048,60,2,10,0,1.0,5,0.0,10,22.137,19.426000000000002,36.7119,37.02078,measured,10,22.137,19.426000000000002,36.7119,37.02078,25.99933333333333,26.93,31.5677,31.97994,0.8514449088438166,0.7213516524322318,1.1629577067698946,1.1576250612102463
110.dynamic-html,x64,2048,60,4,12,0,1.0,3,0.0,12,18.1525,18.0305,20.1522,20.30004,measured,12,18.1525,18.0305,20.1522,20.30004,25.99933333333333,26.93,31.5677,31.97994,0.6981909792558785,0.6695321203119198,0.6383803698083801,0.6347741740603641
110.dynamic-html,x64,2048,120,1,5,0,1.0,5,0.0,5,28.7366,27.193,44.1004,46.10248,measured,5,28.7366,27.193,44.1004,46.10248,46.784333333333336,52.605,60.228,60.9056,0.6142355346875378,0.5169280486645756,0.7322242146509929,0.7569497714495875
110.dynamic-html,x64,2048,120,2,10,0,1.0,5,0.0,10,18.9808,17.365000000000002,28.54644999999998,35.57329,measured,10,18.9808,17.365000000000002,28.54644999999998,35.57329,46.784333333333336,52.605,60.228,60.9056,0.4057084636594871,0.33010170135918643,0.4739730690044494,0.5840725647559502
110.dynamic-html,x64,2048,120,4,20,0,1.0,5,0.0,20,20.58915,18.7265,37.7376,38.780319999999996,measured,20,20.58915,18.7265,37.7376,38.780319999999996,46.784333333333336,52.605,60.228,60.9056,0.44008642494282274,0.3559832715521339,0.6265789998007572,0.6367283139809803
110.dynamic-html,x64,2048,300,1,5,0,1.0,5,0.0,5,16.707,15.823,19.143,19.1678,measured,5,16.707,15.823,19.143,19.1678,17.344333333333335,18.312,18.7827,18.82454,0.9632540887513693,0.8640782000873743,1.0191825456404033,1.0182347085240862
110.dynamic-html,x64,2048,300,2,10,0,1.0,5,0.0,10,19.1222,17.426499999999997,28.789349999999985,34.418670000000006,measured,10,19.1222,17.426499999999997,28.789349999999985,34.418670000000006,17.344333333333335,18.312,18.7827,18.82454,1.10250418003959,0.95164373088685,1.5327588685332774,1.8283936818642053
110.dynamic-html,x64,2048,300,4,20,0,1.0,5,0.0,20,20.88815,19.927,38.943200000000004,39.81264,measured,20,20.88815,19.927,38.943200000000004,39.81264,17.344333333333335,18.312,18.7827,18.82454,1.2043212961005514,1.0881935342944515,2.0733547360070705,2.1149329545370037
110.dynamic-html,x64,2048,900,1,3,0,1.0,3,0.0,3,27.503,25.373,38.702,39.8868,measured,3,27.503,25.373,38.702,39.8868,39.08766666666667,37.372,50.6722,51.85444,0.703623478846695,0.678930750294338,0.7637718512320365,0.7692070341517525
110.dynamic-html,x64,2048,900,2,10,0,1.0,5,0.0,10,25.0096,26.771,28.97095,29.060589999999998,measured,10,25.0096,26.771,28.97095,29.060589999999998,39.08766666666667,37.372,50.6722,51.85444,0.6398335365801658,0.7163384351921225,0.5717326265684143,0.5604262624377006
110.dynamic-html,x64,2048,900,4,12,0,1.0,3,0.0,12,17.297583333333332,17.698500000000003,18.94785,19.46397,measured,12,17.297583333333332,17.698500000000003,18.94785,19.46397,39.08766666666667,37.372,50.6722,51.85444,0.4425330240570341,0.47357647436583544,0.3739298866044892,0.3753578285678141
110.dynamic-html,x64,3008,60,1,3,0,1.0,3,0.0,3,41.05166666666667,40.344,51.1395,52.0991,measured,3,41.05166666666667,40.344,51.1395,52.0991,24.08566666666667,24.276,32.1492,32.84904,1.7044023416416403,1.661888284725655,1.590692769960061,1.586015907923032
110.dynamic-html,x64,3008,60,2,10,0,1.0,5,0.0,10,29.181900000000002,28.279,47.23565,47.53913,measured,10,29.181900000000002,28.279,47.23565,47.53913,24.08566666666667,24.276,32.1492,32.84904,1.2115878046417647,1.164895369912671,1.4692636208677043,1.4471999790557044
110.dynamic-html,x64,3008,60,4,12,0,1.0,3,0.0,12,22.67675,21.325,35.11124999999999,40.71905000000001,measured,12,22.67675,21.325,35.11124999999999,40.71905000000001,24.08566666666667,24.276,32.1492,32.84904,0.941503937334791,0.878439611138573,1.0921344854615354,1.2395811262673126
110.dynamic-html,x64,3008,120,1,5,0,1.0,5,0.0,5,33.5714,31.135,50.919,51.6126,measured,5,33.5714,31.135,50.919,51.6126,34.05766666666667,35.343,47.9025,49.0189,0.9857222553903672,0.8809382338794103,1.0629716611867854,1.052912244052804
110.dynamic-html,x64,3008,120,2,10,0,1.0,5,0.0,10,18.6176,15.885000000000002,30.64234999999998,38.38127000000001,measured,10,18.6176,15.885000000000002,30.64234999999998,38.38127000000001,34.05766666666667,35.343,47.9025,49.0189,0.5466493104832,0.44945250827603767,0.6396816450080889,0.7829892143642555
110.dynamic-html,x64,3008,120,4,20,0,1.0,5,0.0,20,21.79275,19.3975,36.49815,36.743629999999996,measured,20,21.79275,19.3975,36.49815,36.743629999999996,34.05766666666667,35.343,47.9025,49.0189,0.6398779521008485,0.5488356958945194,0.7619257867543447,0.7495808759478486
110.dynamic-html,x64,3008,300,1,5,0,1.0,5,0.0,5,23.9428,20.962,35.3054,37.72188,measured,5,23.9428,20.962,35.3054,37.72188,18.269666666666662,18.177,20.6187,20.83574,1.310521994562937,1.1532156021345656,1.7122999995150032,1.8104410978443768
110.dynamic-html,x64,3008,300,2,10,0,1.0,5,0.0,10,19.1634,17.8885,28.22479999999998,34.24976,measured,10,19.1634,17.8885,28.22479999999998,34.24976,18.269666666666662,18.177,20.6187,20.83574,1.0489189731613424,0.9841282939979095,1.36889328619166,1.6437985883870696
110.dynamic-html,x64,3008,300,4,20,0,1.0,5,0.0,20,19.9213,18.2075,35.09235,36.328869999999995,measured,20,19.9213,18.2075,35.09235,36.328869999999995,18.269666666666662,18.177,20.6187,20.83574,1.0904030359977377,1.0016779446553337,1.7019671463283332,1.7435843411369114
110.dynamic-html,x64,3008,900,1,3,0,1.0,3,0.0,3,17.163333333333334,17.555,17.5847,17.58734,measured,3,17.163333333333334,17.555,17.5847,17.58734,45.41,37.016,62.35099999999999,64.603,0.3779637377963738,0.47425437648584395,0.28202755368799226,0.27223720260669015
110.dynamic-html,x64,3008,900,2,10,0,1.0,5,0.0,10,16.4516,16.581,18.420849999999998,18.79777,measured,10,16.4516,16.581,18.420849999999998,18.79777,45.41,37.016,62.35099999999999,64.603,0.36229024443955077,0.44794143073265613,0.29543792401084185,0.29097363899509315
110.dynamic-html,x64,3008,900,4,12,0,1.0,3,0.0,12,19.2375,16.4185,28.46755,28.95991,measured,12,19.2375,16.4185,28.46755,28.95991,45.41,37.016,62.35099999999999,64.603,0.4236401673640168,0.44355143721633894,0.45656926111850654,0.44827500270885257
120.uploader,x64,128,60,1,2,0,1.0,2,0.0,2,15693.787999999999,15693.787999999999,28987.794199999997,30169.48364,measured,2,15693.787999999999,15693.787999999999,28987.794199999997,30169.48364,1339.0873333333332,956.737,2598.5008,2744.43536,11.719764356917722,16.403450478031058,11.1555840967992,10.992965649589939
120.uploader,x64,128,60,2,8,0,1.0,4,0.0,8,8134.960875,840.582,30648.2865,30713.081299999998,measured,8,8134.960875,840.582,30648.2865,30713.081299999998,1339.0873333333332,956.737,2598.5008,2744.43536,6.075003976589031,0.8785925494676176,11.794603449804596,11.191038327096907
120.uploader,x64,128,60,4,16,0,1.0,4,0.0,16,435.50293750000003,435.3885,466.4125,471.5617,measured,16,435.50293750000003,435.3885,466.4125,471.5617,1339.0873333333332,956.737,2598.5008,2744.43536,0.3252237002465859,0.455076473471811,0.17949292145686468,0.1718246699751019
120.uploader,x64,128,120,1,2,0,1.0,2,0.0,2,485.65700000000004,485.65700000000004,490.7294,491.18028,measured,2,485.65700000000004,485.65700000000004,490.7294,491.18028,2567.7233333333334,601.38,6220.7595,6720.2599,0.1891391466110705,0.8075709202168346,0.07888576949486634,0.07308947679240799
120.uploader,x64,128,120,2,10,0,1.0,5,0.0,10,458.1563,462.31500000000005,477.03274999999996,480.78575,measured,10,458.1563,462.31500000000005,477.03274999999996,480.78575,2567.7233333333334,601.38,6220.7595,6720.2599,0.17842899741275345,0.7687568592237853,0.07668400458175564,0.07154273155417695
120.uploader,x64,128,120,4,16,0,1.0,4,0.0,16,433.8551875,428.2105,484.789,507.61539999999997,measured,16,433.8551875,428.2105,484.789,507.61539999999997,2567.7233333333334,601.38,6220.7595,6720.2599,0.1689649277505235,0.7120464598091057,0.07793083786634092,0.07553508458802315
120.uploader,x64,128,300,1,4,1,0.75,4,0.0,3,450.00600000000003,450.479,450.61400000000003,450.62600000000003,measured,3,450.00600000000003,450.479,450.61400000000003,450.62600000000003,11152.217000000002,324.077,29587.6445,32188.8505,0.04035125930566092,1.3900369356665236,0.015229803102440279,0.0139994436893607
120.uploader,x64,128,300,2,10,0,1.0,5,0.0,10,496.3977,438.703,757.3408499999999,758.26497,measured,10,496.3977,438.703,757.3408499999999,758.26497,11152.217000000002,324.077,29587.6445,32188.8505,0.04451112276599351,1.3536998923095436,0.025596523913892503,0.023556758263237762
120.uploader,x64,128,300,4,12,0,1.0,3,0.0,12,526.4715,498.029,619.1496500000001,620.67953,measured,12,526.4715,498.029,619.1496500000001,620.67953,11152.217000000002,324.077,29587.6445,32188.8505,0.04720778837068897,1.5367613252406065,0.02092595272327272,0.0192824384952796
120.uploader,x64,128,900,1,3,0,1.0,3,0.0,3,541.1416666666667,479.64,702.7203,722.5496599999999,measured,3,541.1416666666667,479.64,702.7203,722.5496599999999,397.615,441.744,449.6793,450.38466,1.3609689439952382,1.0857872432902314,1.5627143611013448,1.6042945601211194
