benchmark,architecture,memory_mb,timeout_sec,idle_gap_sec,invocations,failed_invocations,success_rate,cold_probability,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,profile_source,warm_mean_client_latency_ms,warm_p95_latency_ms,estimated_cold_overhead_ms,estimated_p95_cold_overhead_ms
120.uploader,arm64,1024,60,-1,1,0,1.0,1.0,1,1293.793,1293.793,1293.793,measured,3299.7923333333333,7089.8277,-2005.9993333333334,-5796.0347
120.uploader,arm64,1024,60,0,1,0,1.0,1.0,1,1731.876,1731.876,1731.876,warmup_only,3299.7923333333333,7089.8277,-1567.9163333333333,-5357.9517
120.uploader,arm64,1024,120,-1,1,0,1.0,1.0,1,1037.951,1037.951,1037.951,measured,1044.9606666666666,1254.1182,-7.00966666666659,-216.16719999999987
120.uploader,arm64,1024,120,0,1,0,1.0,1.0,1,1325.015,1325.015,1325.015,warmup_only,1044.9606666666666,1254.1182,280.0543333333335,70.89680000000021
120.uploader,arm64,1024,300,-1,1,0,1.0,1.0,1,1308.616,1308.616,1308.616,measured,2886.418333333333,5384.315299999999,-1577.802333333333,-4075.6992999999993
120.uploader,arm64,1024,300,0,1,0,1.0,1.0,1,5050.525,5050.525,5050.525,warmup_only,2886.418333333333,5384.315299999999,2164.1066666666666,-333.79029999999966
120.uploader,arm64,1024,900,-1,1,0,1.0,1.0,1,1384.79,1384.79,1384.79,measured,1265.918,2222.4614,118.87200000000007,-837.6714000000002
120.uploader,arm64,1024,900,0,1,0,1.0,1.0,1,1438.107,1438.107,1438.107,warmup_only,1265.918,2222.4614,172.18900000000008,-784.3544000000002
120.uploader,arm64,2048,60,-1,1,0,1.0,1.0,1,2028.249,2028.249,2028.249,measured,1113.153,1512.0167,915.096,516.2323000000001
120.uploader,arm64,2048,60,0,1,0,1.0,1.0,1,2047.926,2047.926,2047.926,warmup_only,1113.153,1512.0167,934.7729999999999,535.9093
120.uploader,arm64,2048,120,-1,1,0,1.0,1.0,1,1251.828,1251.828,1251.828,measured,1289.195333333333,1515.8778,-37.367333333333136,-264.0498
120.uploader,arm64,2048,120,0,1,0,1.0,1.0,1,915.969,915.969,915.969,warmup_only,1289.195333333333,1515.8778,-373.22633333333306,-599.9087999999999
120.uploader,arm64,2048,300,-1,1,0,1.0,1.0,1,1202.401,1202.401,1202.401,measured,1146.903,1459.6023,55.49800000000005,-257.20129999999995
120.uploader,arm64,2048,300,0,1,0,1.0,1.0,1,1001.816,1001.816,1001.816,warmup_only,1146.903,1459.6023,-145.087,-457.7863
120.uploader,arm64,2048,900,-1,1,0,1.0,1.0,1,1206.545,1206.545,1206.545,measured,1038.854,1305.9598,167.69100000000003,-99.41480000000001
120.uploader,arm64,2048,900,0,1,0,1.0,1.0,1,1354.774,1354.774,1354.774,warmup_only,1038.854,1305.9598,315.91999999999985,48.8141999999998
120.uploader,arm64,3008,60,-1,1,0,1.0,1.0,1,7197.586,7197.586,7197.586,measured,3115.1863333333336,5032.5532,4082.3996666666667,2165.0328
120.uploader,arm64,3008,60,0,1,0,1.0,1.0,1,1365.232,1365.232,1365.232,warmup_only,3115.1863333333336,5032.5532,-1749.9543333333336,-3667.3212000000003
120.uploader,arm64,3008,120,-1,1,0,1.0,1.0,1,3112.782,3112.782,3112.782,measured,6720.156666666667,15404.6107,-3607.3746666666666,-12291.828699999998
120.uploader,arm64,3008,120,0,1,0,1.0,1.0,1,1248.986,1248.986,1248.986,warmup_only,6720.156666666667,15404.6107,-5471.170666666667,-14155.624699999998
120.uploader,arm64,3008,300,-1,1,0,1.0,1.0,1,1297.739,1297.739,1297.739,measured,2737.31,3290.5284,-1439.571,-1992.7894000000001
120.uploader,arm64,3008,300,0,1,0,1.0,1.0,1,1216.255,1216.255,1216.255,warmup_only,2737.31,3290.5284,-1521.0549999999998,-2074.2734
120.uploader,arm64,3008,900,-1,1,0,1.0,1.0,1,1258.596,1258.596,1258.596,measured,1147.1036666666666,1709.6897,111.49233333333336,-451.0936999999999
120.uploader,arm64,3008,900,0,1,0,1.0,1.0,1,1312.893,1312.893,1312.893,warmup_only,1147.1036666666666,1709.6897,165.7893333333334,-396.7966999999999
210.thumbnailer,arm64,128,60,-1,1,0,1.0,1.0,1,644.497,644.497,644.497,measured,70.161,70.3788,574.336,574.1182
210.thumbnailer,arm64,128,60,0,1,0,1.0,1.0,1,675.295,675.295,675.295,warmup_only,70.161,70.3788,605.134,604.9162
210.thumbnailer,arm64,128,120,-1,1,0,1.0,1.0,1,658.319,658.319,658.319,measured,69.972,70.6394,588.347,587.6795999999999
210.thumbnailer,arm64,128,120,0,1,0,1.0,1.0,1,651.087,651.087,651.087,warmup_only,69.972,70.6394,581.115,580.4476
210.thumbnailer,arm64,128,300,-1,1,0,1.0,1.0,1,640.391,640.391,640.391,measured,70.31533333333333,71.07169999999999,570.0756666666666,569.3193
210.thumbnailer,arm64,128,300,0,1,0,1.0,1.0,1,684.195,684.195,684.195,warmup_only,70.31533333333333,71.07169999999999,613.8796666666667,613.1233000000001
210.thumbnailer,arm64,128,900,-1,1,0,1.0,1.0,1,662.264,662.264,662.264,measured,70.45733333333334,70.9141,591.8066666666666,591.3499
210.thumbnailer,arm64,128,900,0,1,0,1.0,1.0,1,674.157,674.157,674.157,warmup_only,70.45733333333334,70.9141,603.6996666666666,603.2429000000001
210.thumbnailer,arm64,256,60,-1,1,0,1.0,1.0,1,655.463,655.463,655.463,measured,70.943,72.22840000000001,584.52,583.2346
210.thumbnailer,arm64,256,60,0,1,0,1.0,1.0,1,662.561,662.561,662.561,warmup_only,70.943,72.22840000000001,591.618,590.3326000000001
210.thumbnailer,arm64,256,120,-1,1,0,1.0,1.0,1,659.066,659.066,659.066,measured,69.68266666666666,70.1308,589.3833333333333,588.9352
210.thumbnailer,arm64,256,120,0,1,0,1.0,1.0,1,675.881,675.881,675.881,warmup_only,69.68266666666666,70.1308,606.1983333333333,605.7502
210.thumbnailer,arm64,256,300,-1,1,0,1.0,1.0,1,625.58,625.58,625.58,measured,70.63799999999999,71.47749999999999,554.942,554.1025000000001
210.thumbnailer,arm64,256,300,0,1,0,1.0,1.0,1,643.039,643.039,643.039,warmup_only,70.63799999999999,71.47749999999999,572.401,571.5615
210.thumbnailer,arm64,256,900,-1,1,0,1.0,1.0,1,665.867,665.867,665.867,measured,71.60933333333334,74.7689,594.2576666666666,591.0980999999999
210.thumbnailer,arm64,256,900,0,1,0,1.0,1.0,1,669.266,669.266,669.266,warmup_only,71.60933333333334,74.7689,597.6566666666666,594.4970999999999
210.thumbnailer,arm64,512,60,-1,1,0,1.0,1.0,1,657.775,657.775,657.775,measured,69.252,70.1893,588.523,587.5857
210.thumbnailer,arm64,512,60,0,1,0,1.0,1.0,1,622.38,622.38,622.38,warmup_only,69.252,70.1893,553.128,552.1907
210.thumbnailer,arm64,512,120,-1,1,0,1.0,1.0,1,626.5,626.5,626.5,measured,71.78066666666666,73.0345,554.7193333333333,553.4655
210.thumbnailer,arm64,512,120,0,1,0,1.0,1.0,1,647.888,647.888,647.888,warmup_only,71.78066666666666,73.0345,576.1073333333334,574.8535
210.thumbnailer,arm64,512,300,-1,1,0,1.0,1.0,1,655.776,655.776,655.776,measured,73.027,73.0954,582.7489999999999,582.6805999999999
210.thumbnailer,arm64,512,300,0,1,0,1.0,1.0,1,631.423,631.423,631.423,warmup_only,73.027,73.0954,558.396,558.3276
210.thumbnailer,arm64,512,900,-1,1,0,1.0,1.0,1,712.51,712.51,712.51,measured,71.10433333333333,72.92710000000001,641.4056666666667,639.5829
210.thumbnailer,arm64,512,900,0,1,0,1.0,1.0,1,679.432,679.432,679.432,warmup_only,71.10433333333333,72.92710000000001,608.3276666666667,606.5049
210.thumbnailer,arm64,1024,60,-1,1,0,1.0,1.0,1,661.781,661.781,661.781,measured,71.68233333333333,72.5649,590.0986666666666,589.2161
210.thumbnailer,arm64,1024,60,0,1,0,1.0,1.0,1,1113.075,1113.075,1113.075,warmup_only,71.68233333333333,72.5649,1041.3926666666666,1040.5101
210.thumbnailer,arm64,1024,120,-1,1,0,1.0,1.0,1,732.689,732.689,732.689,measured,72.49666666666667,73.9164,660.1923333333333,658.7726
210.thumbnailer,arm64,1024,120,0,1,0,1.0,1.0,1,1259.296,1259.296,1259.296,warmup_only,72.49666666666667,73.9164,1186.7993333333334,1185.3796
210.thumbnailer,arm64,1024,300,-1,1,0,1.0,1.0,1,663.017,663.017,663.017,measured,72.18166666666667,73.1957,590.8353333333334,589.8213000000001
210.thumbnailer,arm64,1024,300,0,1,0,1.0,1.0,1,1039.639,1039.639,1039.639,warmup_only,72.18166666666667,73.1957,967.4573333333333,966.4432999999999
210.thumbnailer,arm64,1024,900,-1,1,0,1.0,1.0,1,668.141,668.141,668.141,measured,70.596,70.9863,597.545,597.1546999999999
210.thumbnailer,arm64,1024,900,0,1,0,1.0,1.0,1,1121.364,1121.364,1121.364,warmup_only,70.596,70.9863,1050.768,1050.3777
210.thumbnailer,arm64,2048,60,-1,1,0,1.0,1.0,1,652.506,652.506,652.506,measured,71.25566666666667,71.6918,581.2503333333333,580.8142
210.thumbnailer,arm64,2048,60,0,1,0,1.0,1.0,1,719.249,719.249,719.249,warmup_only,71.25566666666667,71.6918,647.9933333333333,647.5572
