benchmark,architecture,memory_mb,timeout_sec,invocations,failed_invocations,success_rate,cold_rate,successful_invocations,mean_client_latency_ms,mean_benchmark_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source
311.compression,arm64,3008,60,3,0,1.0,0.0,3,406.85533333333336,377.05733333333336,400.632,419.7894,421.49228,measured
311.compression,arm64,3008,120,3,0,1.0,0.0,3,400.503,368.7103333333334,401.488,402.505,402.5954,measured
311.compression,arm64,3008,300,3,0,1.0,0.0,3,399.02299999999997,367.29766666666666,397.918,405.1333,405.77466,measured
311.compression,arm64,3008,900,3,0,1.0,0.0,3,401.06200000000007,371.69233333333335,398.586,406.2495,406.9307,measured
411.image-recognition,arm64,128,60,2,2,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,arm64,128,120,2,2,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,arm64,128,300,2,2,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,arm64,128,900,2,2,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,arm64,256,60,2,2,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,arm64,256,120,2,2,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,arm64,256,300,2,2,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,arm64,256,900,2,2,0.0,0.0,0,,,,,,warmup_only
411.image-recognition,arm64,512,60,3,0,1.0,0.0,3,138.99099999999999,106.495,138.701,144.52849999999998,145.04649999999998,measured
411.image-recognition,arm64,512,120,3,0,1.0,0.0,3,130.97166666666666,100.105,130.526,132.1595,132.3047,measured
411.image-recognition,arm64,512,300,3,0,1.0,0.0,3,143.487,112.14466666666665,141.413,152.10500000000002,153.05540000000002,measured
411.image-recognition,arm64,512,900,3,0,1.0,0.0,3,130.94733333333332,100.89999999999999,129.959,134.486,134.8884,measured
411.image-recognition,arm64,1024,60,3,0,1.0,0.0,3,148.224,117.30633333333333,150.188,156.6968,157.27535999999998,measured
411.image-recognition,arm64,1024,120,3,0,1.0,0.0,3,147.064,120.71733333333333,135.69,175.31519999999998,178.83744,measured
411.image-recognition,arm64,1024,300,3,0,1.0,0.0,3,136.08666666666667,104.927,136.151,138.7457,138.97634,measured
411.image-recognition,arm64,1024,900,3,0,1.0,0.0,3,135.00733333333332,105.09499999999998,133.978,137.49519999999998,137.80784,measured
411.image-recognition,arm64,2048,60,3,0,1.0,0.0,3,136.66466666666668,105.545,135.362,140.5343,140.99406000000002,measured
411.image-recognition,arm64,2048,120,3,0,1.0,0.0,3,145.208,114.53433333333334,137.509,158.6554,160.53508,measured
411.image-recognition,arm64,2048,300,3,0,1.0,0.0,3,140.971,110.05533333333334,140.893,142.9567,143.14014,measured
411.image-recognition,arm64,2048,900,3,0,1.0,0.0,3,138.53833333333333,108.49400000000001,138.193,140.2621,140.44602,measured
411.image-recognition,arm64,3008,60,3,0,1.0,0.0,3,133.783,102.877,132.011,138.3713,138.93666,measured
411.image-recognition,arm64,3008,120,3,0,1.0,0.0,3,131.396,101.10699999999999,128.593,137.8324,138.65368,measured
411.image-recognition,arm64,3008,300,3,0,1.0,0.0,3,132.15033333333335,101.51366666666667,129.926,136.0091,136.54982,measured
411.image-recognition,arm64,3008,900,3,0,1.0,0.0,3,141.332,110.67933333333333,132.709,157.3132,159.50024,measured
