benchmark,architecture,memory_mb,timeout_sec,concurrency,invocations,failed_invocations,success_rate,rounds,cold_rate,successful_invocations,mean_client_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,profile_source,warm_only_successful_invocations,warm_only_mean_client_latency_ms,warm_only_p50_latency_ms,warm_only_p95_latency_ms,warm_only_p99_latency_ms,warm_mean_client_latency_ms,warm_p50_latency_ms,warm_p95_latency_ms,warm_p99_latency_ms,latency_slowdown_mean,latency_slowdown_p50,latency_slowdown_p95,latency_slowdown_p99
110.dynamic-html,arm64,128,900,4,20,0,1.0,5,0.0,20,29.600150000000003,27.8485,37.93835000000001,38.50607,measured,20,29.600150000000003,27.8485,37.93835000000001,38.50607,26.658,26.449,28.2436,28.40312,1.110366494110586,1.0529131536163938,1.3432547550595535,1.3556985993088082
110.dynamic-html,arm64,256,60,1,5,0,1.0,5,0.0,5,29.153399999999998,28.78,30.666800000000002,30.80856,measured,5,29.153399999999998,28.78,30.666800000000002,30.80856,27.899666666666665,28.786,28.8427,28.84774,1.0449372154983931,0.9997915653442646,1.0632430389665324,1.067971355815048
110.dynamic-html,arm64,256,60,2,10,0,1.0,5,0.0,10,26.7001,27.7325,31.739049999999995,32.12461,measured,10,26.7001,27.7325,31.739049999999995,32.12461,27.899666666666665,28.786,28.8427,28.84774,0.9570042652839341,0.963402348363788,1.1004188234804646,1.113591913959291
110.dynamic-html,arm64,256,60,4,20,0,1.0,5,0.05,20,52.9957,28.4755,83.4302000000003,406.15963999999946,measured,19,30.161684210526317,27.986,43.12069999999995,58.382540000000006,27.899666666666665,28.786,28.8427,28.84774,1.0810768662896684,0.9722087125686097,1.4950299382512715,2.0238167703951855
110.dynamic-html,arm64,256,120,1,5,0,1.0,5,0.0,5,28.383999999999997,28.391,29.4084,29.54168,measured,5,28.383999999999997,28.391,29.4084,29.54168,28.3,28.049,28.7735,28.8379,1.0029681978798586,1.012192948055189,1.0220654421603212,1.0244046896618686
110.dynamic-html,arm64,256,120,2,10,0,1.0,5,0.0,10,30.5349,30.677,32.6312,32.747840000000004,measured,10,30.5349,30.677,32.6312,32.747840000000004,28.3,28.049,28.7735,28.8379,1.0789717314487632,1.093693179792506,1.1340712808660747,1.1355833815915861
110.dynamic-html,arm64,256,120,4,20,0,1.0,5,0.0,20,30.96985,30.5275,40.831500000000005,43.879099999999994,measured,20,30.96985,30.5275,40.831500000000005,43.879099999999994,28.3,28.049,28.7735,28.8379,1.0943409893992933,1.088363221505223,1.41906615462144,1.521577507377444
110.dynamic-html,arm64,256,300,1,5,0,1.0,5,0.0,5,28.640800000000002,28.63,29.2716,29.36712,measured,5,28.640800000000002,28.63,29.2716,29.36712,28.454666666666668,28.639,28.9981,29.03002,1.0065413991846681,0.9996857432172911,1.0094316524186067,1.0116121173874493
110.dynamic-html,arm64,256,300,2,10,0,1.0,5,0.0,10,27.406799999999997,26.9985,31.73795,32.00759,measured,10,27.406799999999997,26.9985,31.73795,32.00759,28.454666666666668,28.639,28.9981,29.03002,0.9631741717820157,0.942717971996229,1.0944837765232895,1.1025686513478117
110.dynamic-html,arm64,256,300,4,20,0,1.0,5,0.0,20,27.712349999999997,26.8485,36.98775,37.19675,measured,20,27.712349999999997,26.8485,36.98775,37.19675,28.454666666666668,28.639,28.9981,29.03002,0.9739123049529074,0.9374803589510807,1.275523223935361,1.2813201644366763
110.dynamic-html,arm64,256,900,1,5,0,1.0,5,0.0,5,32.689800000000005,32.323,34.3174,34.58028,measured,5,32.689800000000005,32.323,34.3174,34.58028,27.997,27.983,28.1459,28.16038,1.167617959067043,1.1550941643140478,1.2192681704973014,1.2279763270239963
